Timestamp,Environment,Scenario,Mode,PrimaryChannel,PrimaryBand,PrimaryWidth_MHz,PrimaryLinkRate_Mbps,SecondaryChannel,SecondaryBand,SecondaryWidth_MHz,SecondaryLinkRate_Mbps,PrimaryCCI,PrimaryACI,PrimaryNeighbors,SecondaryCCI,SecondaryACI,SecondaryNeighbors,Streams,Throughput_Mbps,Retransmits,Run,Distance,Material,PartitionAmount,PartitionThickness,Connection,PrimaryRSSI,SecondaryRSSI
3/4/2026 21:07,Uni-LOS,1.5m Uni LOS MLO Wireless,MLO,157,5GHz,80,1441,5,6GHz,160,1441,0,0,6,0,0,6,8,374.78,0,5,1.5,,0,0,Wireless,-6,-34
3/4/2026 21:07,Uni-LOS,1.5m Uni LOS MLO Wireless,MLO,157,5GHz,80,1441,5,6GHz,160,1441,0,0,6,0,0,6,8,349.59,0,6,1.5,,0,0,Wireless,-6,-34
3/4/2026 21:08,Uni-LOS,1.5m Uni LOS MLO Wireless,MLO,157,5GHz,80,1441,5,6GHz,160,1441,0,0,6,0,0,6,8,51.11,0,7,1.5,,0,0,Wireless,-6,-34
3/4/2026 21:09,Uni-LOS,1.5m Uni LOS MLO Wireless,MLO,157,5GHz,80,1441,5,6GHz,160,1441,0,0,6,0,0,6,8,45.59,0,8,1.5,,0,0,Wireless,-6,-34
3/4/2026 21:09,Uni-LOS,1.5m Uni LOS MLO Wireless,MLO,157,5GHz,80,1441,5,6GHz,160,1441,0,0,6,0,0,6,8,161.15,0,9,1.5,,0,0,Wireless,-6,-34
3/4/2026 21:10,Uni-LOS,1.5m Uni LOS MLO Wireless,MLO,157,5GHz,80,1441,5,6GHz,160,1441,0,0,6,0,0,6,8,173.76,0,10,1.5,,0,0,Wireless,-6,-34
3/3/2026 3:15,Home-Wall,1.5m Home Wall 1 Wood 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,9,,,,4,615.55,0,1,1.5,Wood,1,0.114,Wireless,-53,
3/3/2026 3:16,Home-Wall,1.5m Home Wall 1 Wood 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,9,,,,4,632.04,0,2,1.5,Wood,1,0.114,Wireless,-53,
3/3/2026 3:16,Home-Wall,1.5m Home Wall 1 Wood 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,9,,,,4,645.1,0,3,1.5,Wood,1,0.114,Wireless,-53,
3/3/2026 3:17,Home-Wall,1.5m Home Wall 1 Wood 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,9,,,,4,628.46,0,4,1.5,Wood,1,0.114,Wireless,-53,
3/3/2026 3:18,Home-Wall,1.5m Home Wall 1 Wood 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,9,,,,4,644.31,0,5,1.5,Wood,1,0.114,Wireless,-53,
3/3/2026 3:18,Home-Wall,1.5m Home Wall 1 Wood 6GHz Wireless,Standard,5,6GHz,160,2882,,,,,0,0,9,,,,4,649,0,6,1.5,Wood,1,0.114,Wireless,-53,
